股票代號,股票名稱,產業別,公司名稱,英文名稱,成立時間,上市時間,資本額,目前市值,發行股數,財報編制類型,董事長,總經理,發言人,代理發言人,統一編號,總機電話,傳真電話,公司電郵,公司網址,中文地址,英文地址,主要業務,股票過戶機構,過戶機構電話,過戶機構地址,簽證會計事務所,簽證會計師,投資人關係聯絡人,投資人關係連絡電話,利害關係人專區網址,上市/上櫃,每股面值,公司債發行,特別股,盈餘分派頻率,發言人職稱,聯絡人職稱,聯絡人電子郵件,國外企業註冊地
1101,台泥,水泥工業,台灣水泥股份有限公司,TCC,12/29/1950,12/29/1950,609.6 億元,2959.6 億元,"5,895,645,647 股  (含私募0股)",合併,張安平,李鐘培,黃健強,賴家柔,11913502,(02)2531-7099,(02)2531-6529,finance@taiwancement.com,http://www.taiwancement.com,台北市中山北路2段113號,"No.113, Sec.2, Zhongshan N. Rd.,Taipei City 104,Taiwan (R.O.C.)",有關水泥及水泥製品之生產及運銷有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷經營有關水泥工業及其附屬事業,中國信託商業銀行代理部,66365566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,"邵志明, 黃惠敏",張佳琪,02-25317099分機20358,http://www.taiwancement.com/tw/csr/csr5-1.html,上市,新台幣 10 元,有,"200,000,000 股",每年,資深副總經理,主任,ir@taiwancement.com,
1102,亞泥,水泥工業,亞洲水泥股份有限公司,ACC,3/21/1957,3/21/1957,336.1 億元,1632 億元,"3,361,447,198 股  (含私募0股)",合併,徐旭東,李坤炎,周維崑,吳玲綾,3244509,02-2733-8000,02-2378-5191,service@acc.com.tw,www.acc.com.tw,台北市大安區敦化南路2段207號30、31樓,"30-31F., No.207, Sec. 2, Dunhua S. Rd., Da' an Dist., Taipei City 106, TaiwanTAIPEI,TAIWAN,R.O.C","水泥,水泥之半成品,水泥製品,預拌混凝土及其添加劑之生產運銷水泥原料,水泥製品原料及砂石開採及爐石粉,石灰石粉之製造運銷其他未述及之項目請參照本公司營業執照之所營事業",亞東證券股份有限公司,02-7753-1699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,"戴信維, 陳培德",陳韋仲,02 27338000 ext.8336,http://www.acc.com.tw/tw/stakeholder/stakeholder_i,上市,新台幣 10 元,有,0 股,每年,副總經理,投資人關係襄理,ir@acc.com.tw,
1103,嘉泥,水泥工業,嘉新水泥股份有限公司,CHC,12/13/1954,12/13/1954,77.5 億元,187.1 億元,"774,780,548 股  (含私募0股)",合併,張剛綸,祁士鉅,王立心,余曉芸,11892801,(02)2551-5211,(02)2511-4002,ir@chcgroup.com.tw,www.chcgroup.com.tw,台北市中山北路2段96號,"No.96, Sec. 2, Zhongshan N. Rd., Zhongshan Dist.Taipei City 10449, Taiwan (R.O.C.)",水泥、生產、銷售,群益金鼎證券股份有限公司股代部,(02)2702-3999,台北市敦化南路2段97號地下2樓,勤業眾信聯合會計師事務所,"虞成全, 張耿禧",王立心,(02)2551-5211#243,www.chcgroup.com.tw/index.php?route=system/system&,上市,新台幣 10 元,無,0 股,每年,執行副總經理,執行副總經理,ir@chcgroup.com.tw,
1104,環泥,水泥工業,環球水泥股份有限公司,UCC,3/21/1960,3/21/1960,65.4 億元,156.5 億元,"653,609,192 股  (含私募0股)",合併,侯博義,侯智升,楊宗仁,詹志鴻,7568009,02-25077801,02-25075870,ucc@ucctw.com,www.ucctw.com,台北市南京東路二段125號10樓,"10th F1., 125 Nanking E.Rd Sec. 2,Taipei Taiwan",水泥原料熟料及水泥製品原料之開採製造生產運銷石膏板及其原料生產加工運銷，裝潢工程設計安裝前各項有關產品之進出口代理銷售業務,永豐金證券股份有限公司,02-23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,"楊朝欽, 李季珍",楊宗仁,02-2507-7801,http://www.ucctw.com/ucctw/index.php?option=com_k2,上市,新台幣 10 元,無,0 股,每年,副總經理,副總經理,p1590@ucctw.com,
1108,幸福,水泥工業,幸福水泥股份有限公司,LUCKY CEMENT,5/7/1974,5/7/1974,40.5 億元,62.7 億元,"404,738,049 股  (含私募0股)",合併,陳兩傳,陳兩傳,溫秀菊,陳一誠,40601248,25092188,25048672,"wendy@luckygrp,com.tw",www.luckygrp.com.tw,台北市松江路237號15樓,"15TH FL.,NO.237,SUNG KIANG RD.,TAIPEI,TAIWAN,R.O.C.",有關水泥及水泥製品之工業及相關事業,永豐金證券股務代理,2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,"陳招美, 陳薔旬",溫秀菊,25092188,http://www.luckygrp.com.tw/tw/index.asp?au_id=66&s,上市,新台幣 10 元,無,0 股,每半會計年度,財務部經理,財務部經理,wendy@luckygrp.com.tw,
1109,信大,水泥工業,信大水泥股份有限公司,HsingTa,3/15/1964,3/15/1964,34.2 億元,95.7 億元,"341,957,868 股  (含私募0股)",合併,楊智雄,楊大寬,吳連富,朱萍,3279507,(02)23816731,23314086,service@hsingta.com.tw,www.hsingta.com.tw,台北市寶慶路37號7樓,"7TH FL.,No.37 Pao Ching RoadTaipei Taiwan R.O.C.",有關水泥及水泥製品之生產及運銷,中國信託商業銀行代理部,(02)6636-5566,台北巿重慶南路一段83號5樓,資誠聯合會計師事務所,"賴宗羲, 徐明釧",朱萍,02-23816731#160,http://www.hsingta.com.tw/Aboutusdetail.asp?lv=-1&,上市,新台幣 10 元,無,0 股,每年,副總經理,會計經理,june@hsingta.com.tw,
1110,東泥,水泥工業,東南水泥股份有限公司,TUNA CEMENT,12/28/1956,12/28/1956,57.2 億元,93.2 億元,"572,000,797 股  (含私募0股)",合併,陳敏斷,吳長直,黃薪翰,唐榮宗,83078600,07-2711121,07-9505895,southeast@secement.com,www.southeastcement.com.tw,高雄市前金區五福三路21號4樓之1,"NO.21 Wu Fu 3 RoadKaohsiung, Taiwan, R.O.C.",(1)水泥製造與買賣(2)石灰石之開採及銷售(3)水泥加工製品及預拌混凝土之製造及銷售(4)廠房及大樓出租業(5)廢棄物處理業,元大證券股份有限公司,02-25865859,台北市承德路三段210號地下室1樓,國富浩華聯合會計師事務所,"蔡淑滿, 李青霖",黃薪翰,07-2711121,http://www.southeastcement.com.tw/index.php?q=node,上市,新台幣 10 元,無,0 股,每年,財務部經理,財務部經理,vance.huang@secement.com,
1201,味全,食品工業,味全食品工業股份有限公司,WEI CHUAN,9/22/1953,9/22/1953,50.6 億元,116.1 億元,"506,062,914 股  (含私募0股)",合併,陳宏裕,張教華,黃國禎,陳盟元,11347802,(02)25065020,(02)25063182,service@weichuan.com.tw,http://www.weichuan.com.tw,台北市松江路125號,"10F., No.125, Sung Chiang Rd.Taipei, Taiwan, R.O.C.",食品製造及販賣,元大證券股務代理部,(02)25865859,台北市大同區承德路3段210號地下一樓,資誠聯合會計師事務所,"吳郁隆, 黃世鈞",黃國禎,(02)25065020,http://www.weichuan.com.tw/investor,上市,新台幣 10 元,無,0 股,每年,財務長,財務長,KC_Huang@weichuan.com.tw,
1203,味王,食品工業,味王股份有限公司,VE WONG,7/4/1959,7/4/1959,24 億元,87.1 億元,"240,000,000 股  (含私募0股)",合併,陳清福,陳恭平,魏璟雄,李兆弘,7067309,(02)25717271,(02)25811006,wei@vewong.com.tw,http://www.vewong.com,台北市中山北路二段79號5樓,"5TH FL., 79 CHUNG SHAN N. RD., SEC.2TAIPEI TAIWAN",味精.醬油.罐頭.調理速食品.飲料等製造及營銷有關進出口業務洋菸酒類及飲料之進口及經銷汽車檢驗及修理,群益金鼎證券股份有限公司,27023999,台北市敦化南路二段97號地下2樓,大中國際聯合會計師事務所,"林寬照, 溫明郁",魏璟雄,(02)25717271-610,http://www.vewong.com/ec99/ushop20069/profile_9.as,上市,新台幣 10 元,無,0 股,每年,經理,經理,wei@vewong.com.tw,
1210,大成,食品工業,大成長城企業股份有限公司,GREATWALL,12/28/1960,12/28/1960,82.7 億元,487.3 億元,"827,339,086 股  (含私募0股)",合併,韓家宇,莊坤炎,周叔恆,夏銜譽,73008303,06-2531111,06-2534596,john@greatwall-group.com,http://www.dachan.com,台南市永康區蔦松二街三號,3 NIAOSUN 2TH STREETYONGKONG TAINAN CONTY TAIWAN,飼料大宗油脂肉品,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號六樓,安侯建業會計師事務所,"鍾丹丹, 陳眉芳",周叔恆,02-26577111,https://www.dachan.com/forward4?subChannelId=736&i,上市,新台幣 10 元,無,0 股,每年,特助,特助,john@greatwall-group.com,
